Id,Label,timeset,0,1,componentnumber,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
react-hooks,react-hooks,,1,190600,0,3049,6,0.412348,0.434945,5482.38224
swiftui,swiftui,,13,113100,0,1440,6,0.366797,0.382638,1128.620279
laravel-5.8,laravel-5.8,,4,96800,0,1390,6,0.437151,0.45628,4089.39742
angular7,angular7,,1,74150,0,5637,6,0.467629,0.48782,29035.010793
angular8,angular8,,1,69500,0,980,5,0.466561,0.482052,14177.318682
asp.net-core-2.2,asp.net-core-2.2,,8,66900,0,600,6,0.427129,0.448204,4797.592005
laravel-5.7,laravel-5.7,,4,64600,0,1679,5,0.462744,0.477419,5362.834215
nuxt,nuxt,,1,51600,0,298,6,0.418524,0.438974,3094.940709
azure-databricks,azure-databricks,,2,41100,0,277,5,0.431724,0.450341,2078.071115
tensorflow2.0,tensorflow2.0,,0,36800,0,613,5,0.396638,0.41557,1184.151145
ios13,ios13,,13,36600,0,566,6,0.382422,0.401896,3361.242627
ef-core-2.2,ef-core-2.2,,8,35500,0,334,6,0.414936,0.434863,1426.70295
tf.keras,tf.keras,,0,33500,0,494,5,0.410905,0.430195,1590.843919
swift5,swift5,,13,33400,0,472,5,0.427362,0.446535,3255.839915
xcode11,xcode11,,13,31800,0,546,6,0.352504,0.364807,400.242681
visual-studio-2019,visual-studio-2019,,8,31733.333333,0,647,5,0.48427,0.49421,26099.913453
odoo-12,odoo-12,,0,31500,0,226,5,0.427907,0.446074,818.903703
ag-grid-angular,ag-grid-angular,,1,26700,0,231,6,0.374253,0.390678,256.872944
dialogflow-fulfillment,dialogflow-fulfillment,,13,23600,0,126,5,0.459438,0.472599,529.302601
bloc,bloc,,13,23200,0,443,6,0.363784,0.378477,412.225953
xcode10.1,xcode10.1,,13,20600,0,255,6,0.373835,0.391093,724.000662
mat-table,mat-table,,1,20100,0,284,6,0.403143,0.422698,263.140991
amcharts4,amcharts4,,1,19800,0,183,6,0.415707,0.434963,166.790359
django-2.2,django-2.2,,0,19400,0,294,5,0.413292,0.432265,266.424278
fullcalendar-4,fullcalendar-4,,1,18300,0,212,6,0.407093,0.426621,425.424736
xcode10.2,xcode10.2,,13,16900,0,209,6,0.435731,0.45405,2916.39091
jmeter-5.0,jmeter-5.0,,3,15800,0,31,6,0.401454,0.420522,282.298938
mulesoft,mulesoft,,14,15100,0,47,6,0.404323,0.423362,418.929677
.net-core-2.2,.net-core-2.2,,8,14800,0,167,6,0.399745,0.419563,694.674627
instagram-graph-api,instagram-graph-api,,13,14100,0,47,5,0.460339,0.47306,372.902666
react-navigation-stack,react-navigation-stack,,1,13400,0,196,6,0.38471,0.402258,1.782729
blazor-server-side,blazor-server-side,,8,13100,0,186,6,0.394936,0.413777,335.851336
